bowler,player_out
L Ablish,5
KL Nagarkoti,5
Harsh Dubey,5
PD Collingwood,5
Prince Yadav,5
O Thomas,5
S Ladda,5
HR Shokeen,5
Gurkeerat Singh,5
RJW Topley,5
SB Wagh,5
AP Dole,5
A Choudhary,5
Shoaib Ahmed,5
Shoaib Akhtar,5
SH Johnson,5
Arjun Tendulkar,4
T Stubbs,4
A Badoni,4
Shivam Sharma,4
Ankit Soni,4
DJ Muthuswami,4
D du Preez,4
S Dhawan,4
Y Nagar,4
LE Plunkett,4
Parvez Rasool,4
WA Mota,4
DP Vijaykumar,4
VR Iyer,3
TM Head,3
SM Harwood,3
Sachin Baby,3
T Shamsi,3
Sikandar Raza,3
Gagandeep Singh,3
RJ Peterson,3
DJ Thornely,3
RS Hangargekar,3
DAJ Bracewell,3
AL Menaria,3
RN ten Doeschate,3
GHS Garton,3
JA Richardson,3
R Ninan,3
MJ Henry,3
M Siddharth,3
A Uniyal,3
MJ Clarke,3
JJ van der Wath,3
K Santokie,3
P Sahu,3
SM Boland,3
JW Hastings,3
JM Kemp,3
MK Lomror,2
MA Khote,2
A Flintoff,2
XC Bartlett,2
LJ Wright,2
KT Maphaka,2
ND Doshi,2
KJ Abbott,2
Mohammad Hafeez,2
KA Maharaj,2
P Dubey,2
Mayank Dagar,2
PVSN Raju,2
P Suyal,2
PHKD Mendis,2
PH Solanki,2
JPR Scantlebury-Searles,2
K Yadav,2
V Kaverappa,2
GD Phillips,2
FA Allen,2
D Kalyankrishna,2
SD Chitnis,2
SC Kuggeleijn,2
DNT Zoysa,2
RJ Gleeson,2
AU Rashid,2
C Nanda,2
Shoaib Malik,2
B Geeves,2
Abdul Samad,2
PM Sarvesh Kumar,1
IC Porel,1
M Shahrukh Khan,1
AA Kazi,1
AA Jhunjhunwala,1
L Wood,1
LI Meriwala,1
LB Williams,1
Musheer Khan,1
Naman Dhir,1
NB Singh,1
Mashrafe Mortaza,1
LA Carseldine,1
AA Noffke,1
A Nel,1
Y Prithvi Raj,1
MK Tiwary,1
LMP Simmons,1
GR Napier,1
D Jansen,1
D Brevis,1
CL White,1
CJ McKay,1
SE Rutherford,1
DJM Short,1
SB Joshi,1
DJ Mitchell,1
SA Abbott,1
S Vidyut,1
DB Ravi Teja,1
GH Vihari,1
R Powell,1
GS Sandhu,1
RG More,1
FY Fazal,1
T Henderson,1
Shashank Singh,1
D Salunkhe,1
SS Agarwal,1
BMAJ Mendis,1
SSB Magala,1
SS Sarkar,1
C Bosch,1
SS Mundhe,1
AC Gilchrist,1
TP Sudhindra,1
AM Rahane,1
AJ Finch,1
AC Voges,1
AJ Hosein,1
V Viyaskanth,1
